,author,title,comment,curriculum,id,year,grade,priority
73,Островский А.Н.,Бедность не порок,,19 ИРЛ 2 ст,1,1919,8,
74,Островский А.Н.,Гроза,,19 ИРЛ 2 ст,1,1919,8,
75,Островский А.Н.,Доходное место,,19 ИРЛ 2 ст,1,1919,8,
76,Островский А.Н.,Свои люди - сочтемся,,19 ИРЛ 2 ст,1,1919,8,
77,Островский А.Н.,Снегурочка,,19 ИРЛ 2 ст,1,1919,8,
78,Пушкин А.С.,"Стихотворения, в которых выражаются взгляды на поэта и поэзию",,19 ИРЛ 2 ст,1,1919,8,
79,Пушкин А.С.,Бахчисарайский фонтан,,19 ИРЛ 2 ст,1,1919,8,*
80,Пушкин А.С.,Борис Годунов,,19 ИРЛ 2 ст,1,1919,8,
81,Пушкин А.С.,Евгений Онегин,,19 ИРЛ 2 ст,1,1919,8,
82,Пушкин А.С.,Кавказский пленник,,19 ИРЛ 2 ст,1,1919,8,
83,Пушкин А.С.,Капитанская дочка,,19 ИРЛ 2 ст,1,1919,8,
84,Пушкин А.С.,Лирика,,19 ИРЛ 2 ст,1,1919,8,
85,Пушкин А.С.,Медный всадник,,19 ИРЛ 2 ст,1,1919,8,
86,Пушкин А.С.,Повести Белкина,,19 ИРЛ 2 ст,1,1919,8,
87,Пушкин А.С.,Полтава,,19 ИРЛ 2 ст,1,1919,8,
88,Пушкин А.С.,Скупой рыцарь,,19 ИРЛ 2 ст,1,1919,8,
89,Пушкин А.С.,Цыганы,,19 ИРЛ 2 ст,1,1919,8,
90,Радищев А.Н.,Путешествие из Петербурга в Москву,,19 ИРЛ 2 ст,1,1919,7,
91,народ,Интимная лирика XVII века,,19 ИРЛ 2 ст,1,1919,7,
92,Салтыков-Щедрин М.Е.,Господа Головлевы,,19 ИРЛ 2 ст,1,1919,9,
93,Салтыков-Щедрин М.Е.,Сказки,,19 ИРЛ 2 ст,1,1919,9,*
94,Толстой А.К.,Трилогия,можно ограничиться одной трагедией,19 ИРЛ 2 ст,1,1919,9,
95,Толстой Л.Н.,Власть тьмы,,19 ИРЛ 2 ст,1,1919,9,
96,Толстой Л.Н.,Война и мир,,19 ИРЛ 2 ст,1,1919,9,
97,Толстой Л.Н.,Детство. Отрочество. Юность,,19 ИРЛ 2 ст,1,1919,9,
98,Толстой Л.Н.,Исповедь,,19 ИРЛ 2 ст,1,1919,9,
99,Толстой Л.Н.,Хаджи-Мурат,,19 ИРЛ 2 ст,1,1919,9,
100,Толстой Л.Н.,Холстомер,,19 ИРЛ 2 ст,1,1919,9,*
101,Тургенев И.С.,Дворянское гнездо,,19 ИРЛ 2 ст,1,1919,8,
102,Тургенев И.С.,Записки охотника,,19 ИРЛ 2 ст,1,1919,8,
103,Тургенев И.С.,Накануне,,19 ИРЛ 2 ст,1,1919,8,
104,Тургенев И.С.,Новь,,19 ИРЛ 2 ст,1,1919,8,
105,Тургенев И.С.,Отцы и дети,,19 ИРЛ 2 ст,1,1919,8,
106,Тургенев И.С.,Рудин,,19 ИРЛ 2 ст,1,1919,8,
107,Тургенев И.С.,Стихотворения в прозе,,19 ИРЛ 2 ст,1,1919,8,
108,Тютчев Ф.И.,что-то,,19 ИРЛ 2 ст,1,1919,8,
109,Успенский Г.И.,Власть земли,отдельные рассказы,19 ИРЛ 2 ст,1,1919,9,
110,Успенский Г.И.,Нравы Растеряевой улицы,,19 ИРЛ 2 ст,1,1919,9,
111,Фонвизин Д.И.,Недоросль,,19 ИРЛ 2 ст,1,1919,7,
112,Чехов А.П.,Вишневый сад,,19 ИРЛ 2 ст,1,1919,9,
113,Чехов А.П.,Мужики,,19 ИРЛ 2 ст,1,1919,9,
114,Чехов А.П.,Палата №6,,19 ИРЛ 2 ст,1,1919,9,
115,Чехов А.П.,Степь,,19 ИРЛ 2 ст,1,1919,9,
116,народ,Былины о гибели богатырей,,19 ИРЛ 2 ст,1,1919,6,
117,народ,Устное творчество позднейшего происхождения: бытовая лирика,,19 ИРЛ 2 ст,1,1919,7,
118,народ,Былины об Иване Грозном: Взятие Казани,,19 ИРЛ 2 ст,1,1919,6,
119,народ,Былина о Волхе-Вольге и Микуле,,19 ИРЛ 2 ст,1,1919,6,
120,народ,Былины об Иване Грозном: Гнев Грозного на сына,,19 ИРЛ 2 ст,1,1919,6,
121,народ,Житие протопопа Аввакума,,19 ИРЛ 2 ст,1,1919,7,
122,народ,Загадки,,19 ИРЛ 2 ст,1,1919,6,
123,народ,"Киевские былины о Добрыне, Алеше, Илье Муромце",,19 ИРЛ 2 ст,1,1919,6,
124,народ,Новгородские былины о Василии Буслаевиче и Садке,,19 ИРЛ 2 ст,1,1919,6,
125,народ,О Бове Королевиче,,19 ИРЛ 2 ст,1,1919,7,
126,народ,Духовные стихи о богатом Лазаре,,19 ИРЛ 2 ст,1,1919,6,*
127,народ,Духовные стихи о Вознесении Христове,,19 ИРЛ 2 ст,1,1919,6,
128,народ,Духовные стихи о Голубиней книге,,19 ИРЛ 2 ст,1,1919,6,
129,народ,О Горе-Злочсчастии,,19 ИРЛ 2 ст,1,1919,7,
130,народ,О Ерше,,19 ИРЛ 2 ст,1,1919,7,
131,народ,О Савве Грудцыне,,19 ИРЛ 2 ст,1,1919,7,
132,народ,О Фроле Скобееве,,19 ИРЛ 2 ст,1,1919,7,
133,народ,"Духовные стихи об Алексее, человеке божием  ",,19 ИРЛ 2 ст,1,1919,6,*
134,народ,Духовные стихи об Егории Храбром,,19 ИРЛ 2 ст,1,1919,6,
135,народ,Об Еруслане Лазаревиче,,19 ИРЛ 2 ст,1,1919,7,
136,народ,Песнь о Нибелунгах,,19 ИРЛ 2 ст,1,1919,6,
137,народ,Повесть о Юлиании Лазаревской,,19 ИРЛ 2 ст,1,1919,6,
138,народ,Поговорки,,19 ИРЛ 2 ст,1,1919,6,
139,народ,Пословицы,,19 ИРЛ 2 ст,1,1919,6,
140,народ,Устная лирика древнейшего происхождения: Праздничные песни,,19 ИРЛ 2 ст,1,1919,6,
141,народ,Устное творчество позднейшего происхождения: свадебная лирика,,19 ИРЛ 2 ст,1,1919,7,
142,народ,Устная лирика древнейшего происхождения: Свадебные песни,,19 ИРЛ 2 ст,1,1919,6,
143,народ,Былина о Святогоре,,19 ИРЛ 2 ст,1,1919,6,
144,народ,Сказки древнейшего присхождения,,19 ИРЛ 2 ст,1,1919,6,
145,народ,"Устное творчество позднейшего происхождения: сказки о доле,судьбе, бедности, и богатстве, правде и кривде",,19 ИРЛ 2 ст,1,1919,7,
146,народ,Слово о полку Игореве,,19 ИРЛ 2 ст,1,1919,6,
