,Unnamed: 0,author,title,comment,curriculum,id,year,grade,priority,1947,1948,au_48,au_47
59,62,Лермонтов М.Ю.,Демон,,19 ИРЛ 2 ст,1,1919,8,,1,1,1,1
60,63,Лермонтов М.Ю.,Лирика,,19 ИРЛ 2 ст,1,1919,8,,1,0,1,1
61,64,Лермонтов М.Ю.,Мцыри,,19 ИРЛ 2 ст,1,1919,8,,0,0,1,1
62,65,Лермонтов М.Ю.,Песня о купце Калашникове,,19 ИРЛ 2 ст,1,1919,8,,0,0,1,1
63,66,Лесков Н.С.,Запечатленный ангел,,19 ИРЛ 2 ст,1,1919,9,*,0,0,0,0
64,67,Лесков Н.С.,На краю света,,19 ИРЛ 2 ст,1,1919,9,,0,0,0,0
65,68,Лесков Н.С.,Очарованный странник,,19 ИРЛ 2 ст,1,1919,9,,0,0,0,0
66,69,Лесков Н.С.,Соборяне,,19 ИРЛ 2 ст,1,1919,9,,0,0,0,0
67,70,Ломоносов М.В.,Вечернее размышление,,19 ИРЛ 2 ст,1,1919,7,,0,0,1,1
68,71,Ломоносов М.В.,Ода на день восшествия на престол императрицы Елизаветы Петровны,,19 ИРЛ 2 ст,1,1919,7,,1,1,1,1
69,73,Островский А.Н.,Бедность не порок,,19 ИРЛ 2 ст,1,1919,8,,0,0,1,1
70,74,Островский А.Н.,Гроза,,19 ИРЛ 2 ст,1,1919,8,,1,1,1,1
71,75,Островский А.Н.,Доходное место,,19 ИРЛ 2 ст,1,1919,8,,0,0,1,1
72,76,Островский А.Н.,Свои люди - сочтемся,,19 ИРЛ 2 ст,1,1919,8,,0,0,1,1
73,77,Островский А.Н.,Снегурочка,,19 ИРЛ 2 ст,1,1919,8,,1,0,1,1
74,78,Пушкин А.С.,"Стихотворения, в которых выражаются взгляды на поэта и поэзию",,19 ИРЛ 2 ст,1,1919,8,,0,0,1,1
75,79,Пушкин А.С.,Бахчисарайский фонтан,,19 ИРЛ 2 ст,1,1919,8,*,0,0,1,1
76,80,Пушкин А.С.,Борис Годунов,,19 ИРЛ 2 ст,1,1919,8,,0,1,1,1
77,81,Пушкин А.С.,Евгений Онегин,,19 ИРЛ 2 ст,1,1919,8,,1,1,1,1
78,82,Пушкин А.С.,Кавказский пленник,,19 ИРЛ 2 ст,1,1919,8,,0,0,1,1
79,83,Пушкин А.С.,Капитанская дочка,,19 ИРЛ 2 ст,1,1919,8,,1,1,1,1
80,84,Пушкин А.С.,Лирика,,19 ИРЛ 2 ст,1,1919,8,,1,0,1,1
81,85,Пушкин А.С.,Медный всадник,,19 ИРЛ 2 ст,1,1919,8,,1,1,1,1
82,86,Пушкин А.С.,Повести Белкина,,19 ИРЛ 2 ст,1,1919,8,,1,1,1,1
83,87,Пушкин А.С.,Полтава,,19 ИРЛ 2 ст,1,1919,8,,1,1,1,1
84,88,Пушкин А.С.,Скупой рыцарь,,19 ИРЛ 2 ст,1,1919,8,,0,0,1,1
85,89,Пушкин А.С.,Цыганы,,19 ИРЛ 2 ст,1,1919,8,,1,1,1,1
86,90,Радищев А.Н.,Путешествие из Петербурга в Москву,,19 ИРЛ 2 ст,1,1919,7,,1,1,1,1
87,92,Салтыков-Щедрин М.Е.,Господа Головлевы,,19 ИРЛ 2 ст,1,1919,9,,1,1,1,1
88,93,Салтыков-Щедрин М.Е.,Сказки,,19 ИРЛ 2 ст,1,1919,9,*,1,0,1,1
89,94,Толстой А.К.,Трилогия,можно ограничиться одной трагедией,19 ИРЛ 2 ст,1,1919,9,,0,0,0,0
90,95,Толстой Л.Н.,Власть тьмы,,19 ИРЛ 2 ст,1,1919,9,,0,0,1,1
91,96,Толстой Л.Н.,Война и мир,,19 ИРЛ 2 ст,1,1919,9,,1,1,1,1
92,97,Толстой Л.Н.,Детство. Отрочество. Юность,,19 ИРЛ 2 ст,1,1919,9,,1,1,1,1
93,98,Толстой Л.Н.,Исповедь,,19 ИРЛ 2 ст,1,1919,9,,0,0,1,1
94,99,Толстой Л.Н.,Хаджи-Мурат,,19 ИРЛ 2 ст,1,1919,9,,0,0,1,1
95,100,Толстой Л.Н.,Холстомер,,19 ИРЛ 2 ст,1,1919,9,*,0,0,1,1
96,101,Тургенев И.С.,Дворянское гнездо,,19 ИРЛ 2 ст,1,1919,8,,1,1,1,1
97,102,Тургенев И.С.,Записки охотника,,19 ИРЛ 2 ст,1,1919,8,,1,1,1,1
98,103,Тургенев И.С.,Накануне,,19 ИРЛ 2 ст,1,1919,8,,1,1,1,1
99,104,Тургенев И.С.,Новь,,19 ИРЛ 2 ст,1,1919,8,,0,0,1,1
